Recall @ IoU=0.5, Cat=33, Area=[9216, 10000000000.0] => Recall: 0.8
Recall @ IoU=0.5, Cat=34, Area=[0, 10000000000.0] => Recall: 0.8956521739130435
Recall @ IoU=0.5, Cat=34, Area=[0, 1024] => Recall: 0.8656716417910447
Recall @ IoU=0.5, Cat=34, Area=[1024, 9216] => Recall: 0.925
Recall @ IoU=0.5, Cat=34, Area=[9216, 10000000000.0] => Recall: 1.0
Recall @ IoU=0.5, Cat=35, Area=[0, 10000000000.0] => Recall: 0.6680497925311203
Recall @ IoU=0.5, Cat=35, Area=[0, 1024] => Recall: 0.5955056179775281
Recall @ IoU=0.5, Cat=35, Area=[1024, 9216] => Recall: 0.864406779661017
Recall @ IoU=0.5, Cat=35, Area=[9216, 10000000000.0] => Recall: 1.0
Recall @ IoU=0.5, Cat=36, Area=[0, 10000000000.0] => Recall: 0.6376811594202898
Recall @ IoU=0.5, Cat=36, Area=[0, 1024] => Recall: 0.475
Recall @ IoU=0.5, Cat=36, Area=[1024, 9216] => Recall: 0.875
Recall @ IoU=0.5, Cat=36, Area=[9216, 10000000000.0] => Recall: 0.8
Recall @ IoU=0.5, Cat=37, Area=[0, 10000000000.0] => Recall: 0.6615384615384615
Recall @ IoU=0.5, Cat=37, Area=[0, 1024] => Recall: 0.6460176991150443
Recall @ IoU=0.5, Cat=37, Area=[1024, 9216] => Recall: 0.8148148148148148
Recall @ IoU=0.5, Cat=37, Area=[9216, 10000000000.0] => Recall: 0.5714285714285714
Recall @ IoU=0.5, Cat=38, Area=[0, 10000000000.0] => Recall: 0.7400611620795107
Recall @ IoU=0.5, Cat=38, Area=[0, 1024] => Recall: 0.7098214285714286
Recall @ IoU=0.5, Cat=38, Area=[1024, 9216] => Recall: 0.7901234567901234
Recall @ IoU=0.5, Cat=38, Area=[9216, 10000000000.0] => Recall: 0.8636363636363636
Recall @ IoU=0.5, Cat=39, Area=[0, 10000000000.0] => Recall: 0.6758620689655173
Recall @ IoU=0.5, Cat=39, Area=[0, 1024] => Recall: 0.6463414634146342
Recall @ IoU=0.5, Cat=39, Area=[1024, 9216] => Recall: 0.7213114754098361
Recall @ IoU=0.5, Cat=39, Area=[9216, 10000000000.0] => Recall: 0.5
Recall @ IoU=0.5, Cat=40, Area=[0, 10000000000.0] => Recall: 0.6824324324324325
Recall @ IoU=0.5, Cat=40, Area=[0, 1024] => Recall: 0.6021505376344086
Recall @ IoU=0.5, Cat=40, Area=[1024, 9216] => Recall: 0.8269230769230769
Recall @ IoU=0.5, Cat=40, Area=[9216, 10000000000.0] => Recall: 0.6666666666666666
Recall @ IoU=0.5, Cat=41, Area=[0, 10000000000.0] => Recall: 0.8268156424581006
Recall @ IoU=0.5, Cat=41, Area=[0, 1024] => Recall: 0.7435897435897436
Recall @ IoU=0.5, Cat=41, Area=[1024, 9216] => Recall: 0.9047619047619048
Recall @ IoU=0.5, Cat=41, Area=[9216, 10000000000.0] => Recall: 0.8235294117647058
Recall @ IoU=0.5, Cat=42, Area=[0, 10000000000.0] => Recall: 0.7078651685393258
Recall @ IoU=0.5, Cat=42, Area=[0, 1024] => Recall: 0.5727272727272728
Recall @ IoU=0.5, Cat=42, Area=[1024, 9216] => Recall: 0.7796610169491526
Recall @ IoU=0.5, Cat=42, Area=[9216, 10000000000.0] => Recall: 0.8717948717948718
Recall @ IoU=0.5, Cat=43, Area=[0, 10000000000.0] => Recall: 0.7955555555555556
Recall @ IoU=0.5, Cat=43, Area=[0, 1024] => Recall: 0.6790123456790124
Recall @ IoU=0.5, Cat=43, Area=[1024, 9216] => Recall: 0.872
Recall @ IoU=0.5, Cat=43, Area=[9216, 10000000000.0] => Recall: 0.7894736842105263
Recall @ IoU=0.5, Cat=44, Area=[0, 10000000000.0] => Recall: 0.7156959526159921
Recall @ IoU=0.5, Cat=44, Area=[0, 1024] => Recall: 0.608
Recall @ IoU=0.5, Cat=44, Area=[1024, 9216] => Recall: 0.8871951219512195
Recall @ IoU=0.5, Cat=44, Area=[9216, 10000000000.0] => Recall: 0.9333333333333333
Recall @ IoU=0.5, Cat=46, Area=[0, 10000000000.0] => Recall: 0.6275659824046921
Recall @ IoU=0.5, Cat=46, Area=[0, 1024] => Recall: 0.4842105263157895
Recall @ IoU=0.5, Cat=46, Area=[1024, 9216] => Recall: 0.7672413793103449
Recall @ IoU=0.5, Cat=46, Area=[9216, 10000000000.0] => Recall: 0.9714285714285714
Recall @ IoU=0.5, Cat=47, Area=[0, 10000000000.0] => Recall: 0.7005586592178771
Recall @ IoU=0.5, Cat=47, Area=[0, 1024] => Recall: 0.5545454545454546
Recall @ IoU=0.5, Cat=47, Area=[1024, 9216] => Recall: 0.8233618233618234
Recall @ IoU=0.5, Cat=47, Area=[9216, 10000000000.0] => Recall: 0.9038461538461539
Recall @ IoU=0.5, Cat=48, Area=[0, 10000000000.0] => Recall: 0.6697674418604651
Recall @ IoU=0.5, Cat=48, Area=[0, 1024] => Recall: 0.5098039215686274
Recall @ IoU=0.5, Cat=48, Area=[1024, 9216] => Recall: 0.7912087912087912
Recall @ IoU=0.5, Cat=48, Area=[9216, 10000000000.0] => Recall: 0.9090909090909091
Recall @ IoU=0.5, Cat=49, Area=[0, 10000000000.0] => Recall: 0.5353846153846153
Recall @ IoU=0.5, Cat=49, Area=[0, 1024] => Recall: 0.4537037037037037
Recall @ IoU=0.5, Cat=49, Area=[1024, 9216] => Recall: 0.7083333333333334
Recall @ IoU=0.5, Cat=49, Area=[9216, 10000000000.0] => Recall: 0.6153846153846154
Recall @ IoU=0.5, Cat=50, Area=[0, 10000000000.0] => Recall: 0.4980237154150198
Recall @ IoU=0.5, Cat=50, Area=[0, 1024] => Recall: 0.4437869822485207
Recall @ IoU=0.5, Cat=50, Area=[1024, 9216] => Recall: 0.5857142857142857
Recall @ IoU=0.5, Cat=50, Area=[9216, 10000000000.0] => Recall: 0.7142857142857143
Recall @ IoU=0.5, Cat=51, Area=[0, 10000000000.0] => Recall: 0.695024077046549
Recall @ IoU=0.5, Cat=51, Area=[0, 1024] => Recall: 0.46733668341708545
Recall @ IoU=0.5, Cat=51, Area=[1024, 9216] => Recall: 0.7222222222222222
Recall @ IoU=0.5, Cat=51, Area=[9216, 10000000000.0] => Recall: 0.9
Recall @ IoU=0.5, Cat=52, Area=[0, 10000000000.0] => Recall: 0.5243243243243243
Recall @ IoU=0.5, Cat=52, Area=[0, 1024] => Recall: 0.28688524590163933
Recall @ IoU=0.5, Cat=52, Area=[1024, 9216] => Recall: 0.5606936416184971
Recall @ IoU=0.5, Cat=52, Area=[9216, 10000000000.0] => Recall: 0.8266666666666667
Recall @ IoU=0.5, Cat=53, Area=[0, 10000000000.0] => Recall: 0.3813559322033898
Recall @ IoU=0.5, Cat=53, Area=[0, 1024] => Recall: 0.20754716981132076
Recall @ IoU=0.5, Cat=53, Area=[1024, 9216] => Recall: 0.46153846153846156
Recall @ IoU=0.5, Cat=53, Area=[9216, 10000000000.0] => Recall: 0.6666666666666666
Recall @ IoU=0.5, Cat=54, Area=[0, 10000000000.0] => Recall: 0.5480225988700564
Recall @ IoU=0.5, Cat=54, Area=[0, 1024] => Recall: 0.08
Recall @ IoU=0.5, Cat=54, Area=[1024, 9216] => Recall: 0.3125
Recall @ IoU=0.5, Cat=54, Area=[9216, 10000000000.0] => Recall: 0.7692307692307693
Recall @ IoU=0.5, Cat=55, Area=[0, 10000000000.0] => Recall: 0.5543859649122806
Recall @ IoU=0.5, Cat=55, Area=[0, 1024] => Recall: 0.25961538461538464
Recall @ IoU=0.5, Cat=55, Area=[1024, 9216] => Recall: 0.6551724137931034
Recall @ IoU=0.5, Cat=55, Area=[9216, 10000000000.0] => Recall: 0.8461538461538461
Recall @ IoU=0.5, Cat=56, Area=[0, 10000000000.0] => Recall: 0.5608974358974359
Recall @ IoU=0.5, Cat=56, Area=[0, 1024] => Recall: 0.2545454545454545
Recall @ IoU=0.5, Cat=56, Area=[1024, 9216] => Recall: 0.5608465608465608
Recall @ IoU=0.5, Cat=56, Area=[9216, 10000000000.0] => Recall: 0.8088235294117647
Recall @ IoU=0.5, Cat=57, Area=[0, 10000000000.0] => Recall: 0.589041095890411
Recall @ IoU=0.5, Cat=57, Area=[0, 1024] => Recall: 0.42528735632183906
Recall @ IoU=0.5, Cat=57, Area=[1024, 9216] => Recall: 0.7643312101910829
Recall @ IoU=0.5, Cat=57, Area=[9216, 10000000000.0] => Recall: 0.6176470588235294
Recall @ IoU=0.5, Cat=58, Area=[0, 10000000000.0] => Recall: 0.424
Recall @ IoU=0.5, Cat=58, Area=[0, 1024] => Recall: 0.1111111111111111
Recall @ IoU=0.5, Cat=58, Area=[1024, 9216] => Recall: 0.48484848484848486
Recall @ IoU=0.5, Cat=58, Area=[9216, 10000000000.0] => Recall: 0.6808510638297872
Recall @ IoU=0.5, Cat=59, Area=[0, 10000000000.0] => Recall: 0.8028169014084507
Recall @ IoU=0.5, Cat=59, Area=[0, 1024] => Recall: 0.5384615384615384
Recall @ IoU=0.5, Cat=59, Area=[1024, 9216] => Recall: 0.825
Recall @ IoU=0.5, Cat=59, Area=[9216, 10000000000.0] => Recall: 0.881578947368421
Recall @ IoU=0.5, Cat=60, Area=[0, 10000000000.0] => Recall: 0.698170731707317
Recall @ IoU=0.5, Cat=60, Area=[0, 1024] => Recall: 0.5828220858895705
Recall @ IoU=0.5, Cat=60, Area=[1024, 9216] => Recall: 0.75
Recall @ IoU=0.5, Cat=60, Area=[9216, 10000000000.0] => Recall: 0.8985507246376812
Recall @ IoU=0.5, Cat=61, Area=[0, 10000000000.0] => Recall: 0.6064516129032258
Recall @ IoU=0.5, Cat=61, Area=[0, 1024] => Recall: 0.4
Recall @ IoU=0.5, Cat=61, Area=[1024, 9216] => Recall: 0.6229508196721312
Recall @ IoU=0.5, Cat=61, Area=[9216, 10000000000.0] => Recall: 0.7755102040816326
Recall @ IoU=0.5, Cat=62, Area=[0, 10000000000.0] => Recall: 0.6634669678147939
Recall @ IoU=0.5, Cat=62, Area=[0, 1024] => Recall: 0.520863309352518
Recall @ IoU=0.5, Cat=62, Area=[1024, 9216] => Recall: 0.7261761158021713
Recall @ IoU=0.5, Cat=62, Area=[9216, 10000000000.0] => Recall: 0.8623481781376519
Recall @ IoU=0.5, Cat=63, Area=[0, 10000000000.0] => Recall: 0.8045977011494253
Recall @ IoU=0.5, Cat=63, Area=[0, 1024] => Recall: 0.2222222222222222
Recall @ IoU=0.5, Cat=63, Area=[1024, 9216] => Recall: 0.603448275862069
Recall @ IoU=0.5, Cat=63, Area=[9216, 10000000000.0] => Recall: 0.8917525773195877
Recall @ IoU=0.5, Cat=64, Area=[0, 10000000000.0] => Recall: 0.6637426900584795
Recall @ IoU=0.5, Cat=64, Area=[0, 1024] => Recall: 0.46938775510204084
Recall @ IoU=0.5, Cat=64, Area=[1024, 9216] => Recall: 0.7301587301587301
Recall @ IoU=0.5, Cat=64, Area=[9216, 10000000000.0] => Recall: 0.7818181818181819
Recall @ IoU=0.5, Cat=65, Area=[0, 10000000000.0] => Recall: 0.7239263803680982
Recall @ IoU=0.5, Cat=65, Area=[0, 1024] => Recall: 0.0
Recall @ IoU=0.5, Cat=65, Area=[1024, 9216] => Recall: 0.21428571428571427
Recall @ IoU=0.5, Cat=65, Area=[9216, 10000000000.0] => Recall: 0.777027027027027
Recall @ IoU=0.5, Cat=67, Area=[0, 10000000000.0] => Recall: 0.6647482014388489
Recall @ IoU=0.5, Cat=67, Area=[0, 1024] => Recall: 0.18421052631578946
Recall @ IoU=0.5, Cat=67, Area=[1024, 9216] => Recall: 0.5722543352601156
Recall @ IoU=0.5, Cat=67, Area=[9216, 10000000000.0] => Recall: 0.8382352941176471
Recall @ IoU=0.5, Cat=70, Area=[0, 10000000000.0] => Recall: 0.8100558659217877
Recall @ IoU=0.5, Cat=70, Area=[0, 1024] => Recall: 0.2857142857142857
Recall @ IoU=0.5, Cat=70, Area=[1024, 9216] => Recall: 0.6595744680851063
Recall @ IoU=0.5, Cat=70, Area=[9216, 10000000000.0] => Recall: 0.896
Recall @ IoU=0.5, Cat=72, Area=[0, 10000000000.0] => Recall: 0.8125
Recall @ IoU=0.5, Cat=72, Area=[0, 1024] => Recall: 0.38461538461538464
Recall @ IoU=0.5, Cat=72, Area=[1024, 9216] => Recall: 0.8113207547169812
Recall @ IoU=0.5, Cat=72, Area=[9216, 10000000000.0] => Recall: 0.9300699300699301
Recall @ IoU=0.5, Cat=73, Area=[0, 10000000000.0] => Recall: 0.7792207792207793
Recall @ IoU=0.5, Cat=73, Area=[0, 1024] => Recall: 0.3
Recall @ IoU=0.5, Cat=73, Area=[1024, 9216] => Recall: 0.6375
Recall @ IoU=0.5, Cat=73, Area=[9216, 10000000000.0] => Recall: 0.9389312977099237
Recall @ IoU=0.5, Cat=74, Area=[0, 10000000000.0] => Recall: 0.8490566037735849
Recall @ IoU=0.5, Cat=74, Area=[0, 1024] => Recall: 0.7924528301886793
Recall @ IoU=0.5, Cat=74, Area=[1024, 9216] => Recall: 0.9090909090909091
Recall @ IoU=0.5, Cat=74, Area=[9216, 10000000000.0] => Recall: 0.8888888888888888
Recall @ IoU=0.5, Cat=75, Area=[0, 10000000000.0] => Recall: 0.6395759717314488
Recall @ IoU=0.5, Cat=75, Area=[0, 1024] => Recall: 0.5933014354066986
Recall @ IoU=0.5, Cat=75, Area=[1024, 9216] => Recall: 0.75
Recall @ IoU=0.5, Cat=75, Area=[9216, 10000000000.0] => Recall: 0.8571428571428571
Recall @ IoU=0.5, Cat=76, Area=[0, 10000000000.0] => Recall: 0.7973856209150327
Recall @ IoU=0.5, Cat=76, Area=[0, 1024] => Recall: 0.3888888888888889
Recall @ IoU=0.5, Cat=76, Area=[1024, 9216] => Recall: 0.7948717948717948
Recall @ IoU=0.5, Cat=76, Area=[9216, 10000000000.0] => Recall: 0.9298245614035088
Recall @ IoU=0.5, Cat=77, Area=[0, 10000000000.0] => Recall: 0.5992366412213741
Recall @ IoU=0.5, Cat=77, Area=[0, 1024] => Recall: 0.4594594594594595
Recall @ IoU=0.5, Cat=77, Area=[1024, 9216] => Recall: 0.717948717948718
Recall @ IoU=0.5, Cat=77, Area=[9216, 10000000000.0] => Recall: 0.9166666666666666
Recall @ IoU=0.5, Cat=78, Area=[0, 10000000000.0] => Recall: 0.8545454545454545
Recall @ IoU=0.5, Cat=78, Area=[0, 1024] => Recall: 0.75
Recall @ IoU=0.5, Cat=78, Area=[1024, 9216] => Recall: 0.8484848484848485
Recall @ IoU=0.5, Cat=78, Area=[9216, 10000000000.0] => Recall: 0.8888888888888888
Recall @ IoU=0.5, Cat=79, Area=[0, 10000000000.0] => Recall: 0.7062937062937062
Recall @ IoU=0.5, Cat=79, Area=[0, 1024] => Recall: 0.4
Recall @ IoU=0.5, Cat=79, Area=[1024, 9216] => Recall: 0.6862745098039216
Recall @ IoU=0.5, Cat=79, Area=[9216, 10000000000.0] => Recall: 0.7560975609756098
Recall @ IoU=0.5, Cat=80, Area=[0, 10000000000.0] => Recall: 0.4444444444444444
Recall @ IoU=0.5, Cat=80, Area=[0, 1024] => Recall: 0.5
Recall @ IoU=0.5, Cat=80, Area=[1024, 9216] => Recall: 0.4
Recall @ IoU=0.5, Cat=80, Area=[9216, 10000000000.0] => Recall: 0.5
Recall @ IoU=0.5, Cat=81, Area=[0, 10000000000.0] => Recall: 0.7244444444444444
Recall @ IoU=0.5, Cat=81, Area=[0, 1024] => Recall: 0.53125
